,Scientific Name,Common Name,Maturity,Pollution Removal Per Year
,Platanus x hispanica,London plane,Not Applicable,15,-0.152337,51.554554 
,Acer pseudoplatanus,Sycamore,Not Applicable,,-0.191398,51.555575   
,Acer pseudoplatanus 'Variegatu,Maple - Variegated Norway,Middle
,Acer pseudoplatanus,Sycamore,Mature,64.8,-0.193543,51.553556    
,Platanus x hispanica,London plane,Middle aged,41.2,-0.155393,51.545203 
,Sorbus aria 'Majestica',Whitebeam,Middle aged,18.3,-0.140176,51.546747  
,Populus nigra,Poplar -Black,Over Mature,106.8,-0.147032,51.565567  
,Sorbus aucuparia,"Rowan Mountain Ash",Mature,20.6,-0.136829,51.550415  
,Ailanthus altissima,Tree of Heaven,Mature,444,-0.131576,51.527431  
,Platanus x hispanica,London plane,Juvenile,4.7,-0.132114,51.519519  
,Sorbus x thuringiaca,Whitebeam,Mature,157.7,-0.12495,51.527023   
,Tilia cordata,Lime - Small-leaved,Mature,277.7,-0.207638,51.555229  
,Acer campestre,Maple - Field,Middle aged,53.6,-0.128601,51.524109 
,Tilia europaea,Lime - Common,Mature,25.7,-0.138894,51.554254  
,Robinia pseudoacacia,False Acacia,Mature,288.8,-0.124175,51.529054   
,Prunus 'Accolade',Cherry,Middle aged,3.5,-0.13854,51.554924   
,Acer saccharinum 'Laciniatum',Wier maple,Mature,186.9,-0.136517,51.527466  
,Prunus serrula,Cherry - Tibetan,Juvenile,3.5,-0.122296,51.524337  
,Parrotia persica vanessa,Persian Ironwood,Juvenile,,-0.136013,51.532054  
,Platanus x hispanica,London plane,Mature,415.8,-0.168755,51.540657  
,Koelreuteria paniculata,Golden Rain Tree,Juvenile,,-0.181362,51.541211  
,Sambucus nigra,Elder,Mature,31.7,-0.18794,51.555634    
,Amelanchier lamarckii,June Berry,Middle aged,9.2,-0.119297,51.519786  
,Prunus padus,Cherry - Bird,Juvenile,8.6,-0.197409,51.546941  
,Sorbus aria,Whitebeam,Middle aged,157.7,-0.121514,51.523028   
,Acer pseudoplatanus 'Brilliant,Sycamore - Brillianissiumum,Juvenile,4,-0.144861,51.544792 
,Betula pendula,Birch - Silver,Mature,135.1,-0.15235,51.553474  
,Fraxinus unidentified species,Ash,Middle aged,51.6,-0.128232,51.547563  
,Tilia europaea,Lime - Common,Mature,483.5,-0.169231,51.542834  
,Acer platanoides 'Unknown vari,Maple - Norway,Middle
,Tilia europaea,Lime - Common,Mature,190.5,-0.176562,51.55725  
,Betula jacquemontii,Birch - Himalayan,Juvenile,,-0.133148,51.530643  
,Betula pendula 'Dalecarlica',Birch - Cut-leaved,Middle aged,63.4,-0.150588,51.540153
,Prunus 'Pandora',Cherry - Ornamental,Juvenile,3.5,-0.182721,51.551896  
,Liquidambar styraciflua,Sweet Gum,Middle aged,11.8,-0.122391,51.532256  
,Prunus kanzan,Cherry - Double pint,Mature,162,-0.147876,51.565473 
,Acer pseudoplatanus,Sycamore,Middle aged,,-0.207352,51.558186   
,Betula pendula,Birch - Silver,Mature,157.9,-0.142466,51.553562  
,Acer platanoides 'Crimson King,Maple - Crimson
,Robinia pseudoacacia 'Frisia',False Acacia - Frisia,Middle
,Acer negundo,Maple - Boxelder,Middle aged,149.5,-0.147753,51.54895 
,Tilia europaea,Lime - Common,Mature,164.9,-0.184443,51.554993  
,Platanus x hispanica,London plane,Over Mature,794.9,-0.147299,51.566339 
,Platanus x hispanica,London plane,Mature,1945.4,-0.128878,51.525232  
,Betula pendula,Birch - Silver,Mature,210.8,-0.149204,51.560735  
,Liquidambar styraciflua,Sweet Gum,Juvenile,9.3,-0.187401,51.555244   
,Platanus x hispanica,London plane,Mature,584,-0.134142,51.530485  
,Platanus x hispanica,London plane,Mature,465.2,-0.171177,51.53944  
,Platanus x hispanica,London plane,Middle aged,434.6,-0.129838,51.532606 
,Acer campestre,Maple - Field,Middle aged,13.1,-0.136586,51.521625 
,Platanus x hispanica,London plane,Mature,1278.7,-0.142274,51.526847  
,Tilia euchlora,Lime - Caucasian,Middle aged,277.7,-0.190313,51.550062 
,Tilia cordata,Lime - Small-leaved,Mature,416.8,-0.131585,51.54603  
,Ginkgo biloba globosa,Maidenhair,Juvenile,0.8,-0.19688,51.550988   
,Malus 'Mokum',Apple - Crab,Juvenile,,-0.209197,51.552999  
,Liquidambar styraciflua Gumbal,Sweetgum - Gumball,Juvenile,,-0.198425,51.547516 
,Platanus x hispanica,London plane,Mature,460.3,-0.134343,51.542595  
,Tilia europaea,Lime - Common,Mature,25.7,-0.128774,51.525244  
,Corylus avellana,Hazel - Common,Middle aged,37.1,-0.121332,51.516402 
,Prunus serrula,Cherry - Tibetan,Middle aged,39.3,-0.123307,51.528019 
,Platanus x hispanica,London plane,Mature,340.3,-0.167617,51.539983  
,Prunus avium,"Cherry - Wild Gean",Middle aged,88.5,-0.154362,51.546625
,Betula pendula,Birch - Silver,Mature,162.2,-0.194272,51.549016  
,Aesculus hippocastanum,Horse Chestnut,Mature,783.1,-0.147645,51.558087   
,Prunus subhirtella 'Autumnalis,Cherry - Rosebud,Juvenile,21.9,-0.139863,51.548816 
,Carpinus betulus 'Fasticiata',Hornbeam,Middle aged,76,-0.122845,51.52707  
,Ailanthus altissima,Tree of Heaven,Mature,232.8,-0.142815,51.545163  
,Betula pendula,Birch - Silver,Juvenile,11.8,-0.130101,51.532433  
